time_idx,date,temperature,co2,light,humidity
0,2023-03-01 00:10:00,11.2,1665.0,0.0,81.1
1,2023-03-01 00:20:00,11.3,1694.0,0.0,80.90000000000002
2,2023-03-01 00:30:00,11.4,1687.0,0.0,80.20000000000002
3,2023-03-01 00:40:00,11.6,1701.0,0.0,79.9
4,2023-03-01 00:50:00,11.7,1682.0,0.0,79.20000000000002
5,2023-03-01 01:00:00,11.75,1668.5,0.0,79.25
6,2023-03-01 01:10:00,11.8,1655.0,0.0,79.3
7,2023-03-01 01:20:00,11.7,1649.0,0.0,79.5
8,2023-03-01 01:30:00,11.699999999999998,1446.3333333333333,0.0,81.06666666666668
9,2023-03-01 01:40:00,11.6,1682.0,0.0,79.1
10,2023-03-01 01:50:00,11.7,1674.0,0.0,78.4
11,2023-03-01 02:00:00,11.6,1687.0,0.0,78.50000000000001
12,2023-03-01 02:10:00,11.5,1746.0,0.0,81.8
13,2023-03-01 02:20:00,11.3,1718.0,0.0,81.8
14,2023-03-01 02:30:00,11.3,1660.0,0.0,80.90000000000002
15,2023-03-01 02:40:00,11.3,1723.0,0.0,80.8
16,2023-03-01 02:50:00,11.2,1755.0,0.0,81.4
17,2023-03-01 03:00:00,11.1,1748.0,0.0,82.30000000000001
18,2023-03-01 03:10:00,11.0,1741.0,0.0,83.2
19,2023-03-01 03:20:00,10.9,1818.0,0.0,84.4
20,2023-03-01 03:30:00,10.7,1818.0,0.0,85.29999999999998
21,2023-03-01 03:40:00,10.6,1845.0,0.0,86.1
22,2023-03-01 03:50:00,10.6,1845.0,0.0,86.0
23,2023-03-01 04:00:00,10.55,1839.5,0.0,86.2
24,2023-03-01 04:10:00,10.5,1834.0,0.0,86.4
25,2023-03-01 04:20:00,10.6,1863.0,0.0,86.8
26,2023-03-01 04:30:00,10.5,1804.0,0.0,86.4
27,2023-03-01 04:40:00,10.5,1869.0,0.0,87.1
28,2023-03-01 04:50:00,10.5,1896.0,0.0,88.00000000000001
29,2023-03-01 05:00:00,10.45,1895.0,0.0,87.9
30,2023-03-01 05:10:00,10.4,1894.0,0.0,87.79999999999998
31,2023-03-01 05:20:00,10.4,1919.0,0.0,88.3
32,2023-03-01 05:30:00,10.4,1951.0,0.0,88.2
33,2023-03-01 05:40:00,10.4,1978.0,0.0,88.5
34,2023-03-01 05:50:00,10.3,1946.0,0.0,88.3
35,2023-03-01 06:00:00,10.3,1957.0,0.0,88.65
36,2023-03-01 06:10:00,10.3,1968.0,0.0,89.0
37,2023-03-01 06:20:00,10.3,1964.0,0.0,89.2
38,2023-03-01 06:30:00,10.2,1885.0,0.0,89.50000000000001
39,2023-03-01 06:40:00,10.2,1903.0,1.0,89.3
40,2023-03-01 06:50:00,10.2,1966.0,8.0,89.50000000000001
41,2023-03-01 07:00:00,10.2,1942.5,22.5,89.9
42,2023-03-01 07:10:00,10.2,1919.0,37.0,90.3
43,2023-03-01 07:20:00,10.2,1978.0,52.0,91.3
44,2023-03-01 07:30:00,10.2,2032.0,93.0,91.0
45,2023-03-01 07:40:00,10.3,1998.0,135.0,91.3
46,2023-03-01 07:50:00,10.4,1917.0,206.0,90.5
47,2023-03-01 08:00:00,10.55,1911.5,304.5,90.2
48,2023-03-01 08:10:00,10.7,1906.0,403.0,89.9
49,2023-03-01 08:20:00,11.0,1915.0,538.0,90.3
50,2023-03-01 08:30:00,11.4,1941.0,772.0,90.7
51,2023-03-01 08:40:00,11.9,1854.0,951.0,90.6
52,2023-03-01 08:50:00,12.4,1876.0,735.0,88.6
53,2023-03-01 09:00:00,12.75,1904.5,730.5,84.4
54,2023-03-01 09:10:00,13.1,1933.0,726.0,80.20000000000002
55,2023-03-01 09:20:00,13.2,1691.0,883.0,80.6
56,2023-03-01 09:30:00,13.3,1673.0,1772.0,77.5
57,2023-03-01 09:40:00,13.8,1597.0,1998.0,71.00000000000001
58,2023-03-01 09:50:00,14.4,1604.0,2030.0,65.8
59,2023-03-01 10:00:00,14.850000000000001,1598.5,2009.5,64.8
60,2023-03-01 10:10:00,15.3,1593.0,1989.0,63.8
61,2023-03-01 10:20:00,15.6,1485.0,1680.0,58.1
62,2023-03-01 10:30:00,15.6,1485.0,1941.0,59.3
63,2023-03-01 10:40:00,15.7,1478.0,1988.0,60.2
64,2023-03-01 10:50:00,16.2,1466.0,1942.0,59.3
65,2023-03-01 11:00:00,16.549999999999997,1485.5,2140.0,57.5
66,2023-03-01 11:10:00,16.9,1505.0,2338.0,55.7
67,2023-03-01 11:20:00,17.0,1426.0,2813.0,50.3
68,2023-03-01 11:30:00,17.1,1403.0,3387.0,51.5
69,2023-03-01 11:40:00,17.7,1424.0,2475.0,52.60000000000001
70,2023-03-01 11:50:00,17.9,1449.0,2480.0,48.8
71,2023-03-01 12:00:00,17.6,1446.5,2508.0,50.45
72,2023-03-01 12:10:00,17.3,1444.0,2536.0,52.10000000000001
73,2023-03-01 12:20:00,17.6,1439.0,3347.0,50.4
74,2023-03-01 12:30:00,18.1,1485.0,3076.0,46.8
75,2023-03-01 12:40:00,18.3,1417.0,3341.0,46.4
76,2023-03-01 12:50:00,18.3,1397.0,3332.0,46.5
77,2023-03-01 13:00:00,18.450000000000003,1401.5,3090.0,46.2
78,2023-03-01 13:10:00,18.6,1406.0,2848.0,45.9
79,2023-03-01 13:20:00,18.8,1388.0,3685.0,43.6
80,2023-03-01 13:30:00,19.1,1414.0,3383.0,43.4
81,2023-03-01 13:40:00,19.4,1396.0,3272.0,43.8
82,2023-03-01 13:50:00,19.1,1453.0,3190.0,42.60000000000001
83,2023-03-01 14:00:00,19.0,1456.5,2792.5,43.650000000000006
84,2023-03-01 14:10:00,18.9,1460.0,2395.0,44.70000000000001
85,2023-03-01 14:20:00,18.9,1397.0,2515.0,43.3
86,2023-03-01 14:30:00,19.1,1410.0,2067.0,41.70000000000001
87,2023-03-01 14:40:00,19.2,1577.0,2872.0,44.4
88,2023-03-01 14:50:00,19.8,1480.0,2498.0,43.4
89,2023-03-01 15:00:00,19.75,1465.5,2080.5,41.3
